course name,duration,rating,advantage,course link
Understanding Placement Groups4.61 hrsCompletion Certificate,1 hrs,4.6,Completion Certificate,https://www.simplilearn.com/free-aws-placement-groups-course-skillup
Introduction to AWS Inferentia and Amazon EC2 Inf1 Instances4.61 hrsCompletion Certificate,1 hrs,4.6,Completion Certificate,https://www.simplilearn.com/free-aws-inferentia-course-skillup
AWS Application Migration Service (AWS MGN) â A Technical Introduction4.31 hrsCompletion Certificate,1 hrs,4.3,Completion Certificate,https://www.simplilearn.com/free-aws-application-migration-service-course-skillup
AWS Technical Essentials4.51.5K Learners1 hrsCompletion Certificate,1 hrs,4.5,Completion Certificate,https://www.simplilearn.com/free-aws-technical-essentials-course-skillup
Getting Started with Gateway Load Balancer3.31 hrsCompletion Certificate,1 hrs,3.3,Completion Certificate,https://www.simplilearn.com/free-gateway-load-balancer-course-skillup
Getting Started with Amazon Timestream5.01 hrsCompletion Certificate,1 hrs,5.0,Completion Certificate,https://www.simplilearn.com/free-amazon-timestream-course-skillup
AWS Compute Services Overview3.51 hrsCompletion Certificate,1 hrs,3.5,Completion Certificate,https://www.simplilearn.com/free-aws-compute-services-course-skillup
"Gemini in Google Drive4.51.5K Learners1 hrsCompletion CertificateEarn up to $131,759",1 hrs,4.5,"Completion CertificateEarn up to $131,759",https://www.simplilearn.com/free-gemini-in-google-drive-course-skillup
SAP on AWS (Technical)5.02.5K Learners1 hrsCompletion Certificate,1 hrs,5.0,Completion Certificate,https://www.simplilearn.com/free-sap-on-aws-course-skillup
Deep Dive on Container Security4.51 hrsCompletion Certificate,1 hrs,4.5,Completion Certificate,https://www.simplilearn.com/free-container-security-course-skillup
Getting Started with AWS Audit Manager4.51 hrsCompletion Certificate,1 hrs,4.5,Completion Certificate,https://www.simplilearn.com/free-aws-audit-manager-course-skillup
Getting Started with Application Load Balancer4.21 hrsCompletion Certificate,1 hrs,4.2,Completion Certificate,https://www.simplilearn.com/free-application-load-balancer-course-skillup
Introduction to AWS Solutions4.61 hrsCompletion Certificate,1 hrs,4.6,Completion Certificate,https://www.simplilearn.com/free-aws-solutions-course-skillup
Getting Started with Amazon ElastiCache4.01 hrsCompletion Certificate,1 hrs,4.0,Completion Certificate,https://www.simplilearn.com/free-amazon-elasticache-course-skillup
Getting Started with Amazon DocumentDB (with MongoDB compatibility)4.31 hrsCompletion Certificate,1 hrs,4.3,Completion Certificate,https://www.simplilearn.com/free-amazon-documentdb-with-mongodb-course-skillup
Introduction to the AWS Cloud Adoption Framework (CAF)4.61 hrsCompletion Certificate,1 hrs,4.6,Completion Certificate,https://www.simplilearn.com/aws-cloud-adoption-framework-free-course-skillup
"AWS Billing and Cost Management4.41 hrsCompletion CertificateEarn up to $187,905",1 hrs,4.4,"Completion CertificateEarn up to $187,905",https://www.simplilearn.com/free-aws-billing-course-skillup
"Gemini in Google Docs4.51 hrsCompletion CertificateEarn up to $121,769",1 hrs,4.5,"Completion CertificateEarn up to $121,769",https://www.simplilearn.com/free-gemini-in-google-docs-course-skillup
"Gemini in Google Meet4.51.5K Learners1 hrsCompletion CertificateEarn up to $121,769",1 hrs,4.5,"Completion CertificateEarn up to $121,769",https://www.simplilearn.com/free-gemini-in-google-meet-course-skillup
"Gemini in Google Sheets4.51 hrsCompletion CertificateEarn up to $121,769",1 hrs,4.5,"Completion CertificateEarn up to $121,769",https://www.simplilearn.com/free-gemini-in-google-sheets-course-skillup
"Gemini in Google Slides4.61 hrsCompletion CertificateEarn up to $121,769",1 hrs,4.6,"Completion CertificateEarn up to $121,769",https://www.simplilearn.com/free-gemini-in-google-slides-course-skillup
"Introduction to Gemini for Google Workspace4.51 hrsCompletion CertificateEarn up to $121,769",1 hrs,4.5,"Completion CertificateEarn up to $121,769",https://www.simplilearn.com/free-gemini-in-google-workspace-course-skillup
"Gemini in Gmail4.41 hrsCompletion CertificateEarn up to $121,769",1 hrs,4.4,"Completion CertificateEarn up to $121,769",https://www.simplilearn.com/free-gemini-in-gmail-course-skillup
"Scaling with Google Cloud Operations4.51 hrsCompletion CertificateEarn up to $187,463",1 hrs,4.5,"Completion CertificateEarn up to $187,463",https://www.simplilearn.com/free-google-cloud-operations-course-skillup
"Modernize Infrastructure and Applications with Google Cloud4.61 hrsCompletion CertificateEarn up to $187,463",1 hrs,4.6,"Completion CertificateEarn up to $187,463",https://www.simplilearn.com/free-google-cloud-application-modernization-course-skillup
"Exploring Data Transformation with Google Cloud4.51 hrsCompletion CertificateEarn up to $121,265",1 hrs,4.5,"Completion CertificateEarn up to $121,265",https://www.simplilearn.com/free-google-data-transformation-course-skillup
"Trust and Security with Google Cloud4.61 hrsCompletion CertificateEarn up to $180,000",1 hrs,4.6,"Completion CertificateEarn up to $180,000",https://www.simplilearn.com/free-trust-and-security-with-google-cloud-course-skillup
"Innovating with Google Cloud Artificial Intelligence4.62.5K Learners1 hrsCompletion CertificateEarn up to $255,784",1 hrs,4.6,"Completion CertificateEarn up to $255,784",https://www.simplilearn.com/free-google-cloud-ai-innovation-course-skillup
"Responsible AI: Applying AI Principles with Google Cloud4.61.5K Learners2 hrsCompletion CertificateEarn up to $251,719",2 hrs,4.6,"Completion CertificateEarn up to $251,719",https://www.simplilearn.com/free-google-cloud-responsible-ai-course-skillup
"Introduction to Generative AI Studio4.514.5K Learners1 hrsCompletion CertificateEarn up to $246,858",1 hrs,4.5,"Completion CertificateEarn up to $246,858",https://www.simplilearn.com/free-generative-ai-studio-course-skillup
"Transformer Models and BERT Model4.51 hrsCompletion CertificateEarn up to $201,500",1 hrs,4.5,"Completion CertificateEarn up to $201,500",https://www.simplilearn.com/free-transformer-bert-model-course-skillup
"Attention Mechanism4.51 hrsCompletion CertificateEarn up to $201,500",1 hrs,4.5,"Completion CertificateEarn up to $201,500",https://www.simplilearn.com/free-attention-mechanism-course-skillup
Machine Learning using Python4.5155K Learners7 hrsCompletion CertificateEarn up to $205K,7 hrs,4.5,Completion CertificateEarn up to $205K,https://www.simplilearn.com/learn-machine-learning-basics-skillup
Introduction to Artificial Intelligence4.5157.5K Learners2 hrsCompletion CertificateEnroll and win rewards,2 hrs,4.5,Completion CertificateEnroll and win rewards,https://www.simplilearn.com/learn-ai-basics-skillup
Deep Learning for Beginners4.627K Learners7 hrsCompletion CertificateEarn up to $154K,7 hrs,4.6,Completion CertificateEarn up to $154K,https://www.simplilearn.com/introduction-to-deep-learning-free-course-skillup
Getting Started with Machine Learning Algorithms4.517.5K Learners6 hrsCompletion Certificate,6 hrs,4.5,Completion Certificate,https://www.simplilearn.com/learn-machine-learning-algorithms-free-course-skillup
Introduction to Neural Network4.53.5K Learners4 hrsCompletion Certificate,4 hrs,4.5,Completion Certificate,https://www.simplilearn.com/neural-network-training-from-scratch-free-course-skillup
TensorFlow for Beginners4.55.5K Learners5 hrsCompletion Certificate,5 hrs,4.5,Completion Certificate,https://www.simplilearn.com/learn-tensorflow-basics-free-course-skillup
Introduction to Machine Learning with R4.58.5K Learners10 hrsCompletion Certificate,10 hrs,4.5,Completion Certificate,https://www.simplilearn.com/free-course-on-machine-learning-with-r-skillup
Image Recognition Basics for Beginners course4.44.5K Learners2 hrsCompletion Certificate,2 hrs,4.4,Completion Certificate,https://www.simplilearn.com/introduction-to-image-recognition-basics-skillup
Introduction to Supervised & Unsupervised Machine Learning4.54.5K Learners6 hrsCompletion Certificate,6 hrs,4.5,Completion Certificate,https://www.simplilearn.com/introduction-to-supervised-unsupervised-learning-for-beginners-skillup
Introduction to Deep Learning with Keras4.53K Learners4 hrsCompletion Certificate,4 hrs,4.5,Completion Certificate,https://www.simplilearn.com/learn-keras-for-beginners-free-course-skillup
Natural Language Processing (NLP) and Text Mining Tutorial for Beginners4.59.5K Learners1 hrsCompletion Certificate,1 hrs,4.5,Completion Certificate,https://www.simplilearn.com/learn-basics-of-natural-language-processing-free-course-skillup
Introduction to Data Mining Course4.55K Learners4 hrsCompletion Certificate,4 hrs,4.5,Completion Certificate,https://www.simplilearn.com/free-introduction-to-data-mining-course-skillup
"Machine Learning for Beginners4.54.5K Learners2 hrsCompletion CertificateEarn up to $240,063",2 hrs,4.5,"Completion CertificateEarn up to $240,063",https://www.simplilearn.com/free-machine-learning-beginners-course-skillup
"Artificial Intelligence Beginners Guide: What is AI?4.512.5K Learners1 hrsCompletion CertificateEarn up to $214,141",1 hrs,4.5,"Completion CertificateEarn up to $214,141",https://www.simplilearn.com/free-ai-program-skillup
"Beginners guide for Deep Learning: What is Deep Learning?4.51 hrsCompletion CertificateEarn up to $260,104",1 hrs,4.5,"Completion CertificateEarn up to $260,104",https://www.simplilearn.com/free-deep-learning-program-skillup
Neural Network 101: Image Recognition using Machine Learning4.61.5K Learners1 hrsCompletion Certificate,1 hrs,4.6,Completion Certificate,https://www.simplilearn.com/free-image-recognition-course-skillup
"Become a Machine Learning Expert: Introduction to MATLAB4.42K Learners2 hrsCompletion CertificateEarn up to $253,055",2 hrs,4.4,"Completion CertificateEarn up to $253,055",https://www.simplilearn.com/free-matlab-online-course-skillup
"Create Image Captioning Models4.42K Learners1 hrsCompletion CertificateEarn up to $246,989",1 hrs,4.4,"Completion CertificateEarn up to $246,989",https://www.simplilearn.com/free-image-captioning-models-course-skillup
"Innovating with Google Cloud Artificial Intelligence4.62.5K Learners1 hrsCompletion CertificateEarn up to $255,784",1 hrs,4.6,"Completion CertificateEarn up to $255,784",https://www.simplilearn.com/free-google-cloud-ai-innovation-course-skillup
"Introduction to GAN4.51 hrsCompletion CertificateEarn up to $251,467",1 hrs,4.5,"Completion CertificateEarn up to $251,467",https://www.simplilearn.com/free-gan-course-skillup
"Gemini in Google Drive4.51.5K Learners1 hrsCompletion CertificateEarn up to $131,759",1 hrs,4.5,"Completion CertificateEarn up to $131,759",https://www.simplilearn.com/free-gemini-in-google-drive-course-skillup
Business Analytics with Excel4.6500K Learners4 hrsCompletion CertificateEarn up to $139KEnroll and win rewards,4 hrs,4.6,Completion CertificateEarn up to $139KEnroll and win rewards,https://www.simplilearn.com/learn-business-analytics-excel-fundamentals-skillup
Introduction to Data Analytics Course4.6277K Learners3 hrsCompletion CertificateEarn up to $139KEnroll and win rewards,3 hrs,4.6,Completion CertificateEarn up to $139KEnroll and win rewards,https://www.simplilearn.com/learn-data-analytics-for-beginners-skillup
"Data Analyst 101: Excel Formulas & Functions4.617.5K Learners2 hrsCompletion CertificateEarn up to $109,534",2 hrs,4.6,"Completion CertificateEarn up to $109,534",https://www.simplilearn.com/free-excel-formulas-function-course-skillup
Business Analytics: Excel Macros & VBA for  Beginners4.48K Learners2 hrsCompletion Certificate,2 hrs,4.4,Completion Certificate,https://www.simplilearn.com/free-excel-macros-vba-course-skillup
Business Intelligence using Excel Basics Tutorial4.64K Learners4 hrsCompletion Certificate,4 hrs,4.6,Completion Certificate,https://www.simplilearn.com/free-business-intelligence-excel-course-skillup
Power BI for Beginners4.5212K Learners6 hrsCompletion Certificate,6 hrs,4.5,Completion Certificate,https://www.simplilearn.com/learn-power-bi-basics-free-course-skillup
Introduction to MS Excel4.6297K Learners7 hrsCompletion Certificate,7 hrs,4.6,Completion Certificate,https://www.simplilearn.com/learn-ms-excel-free-training-course-skillup
Introduction to Data Science4.673.5K Learners7 hrsCompletion CertificateEnroll and win rewards,7 hrs,4.6,Completion CertificateEnroll and win rewards,https://www.simplilearn.com/data-science-free-course-for-beginners-skillup
Python Libraries for Data Science4.528.5K Learners7 hrsCompletion Certificate,7 hrs,4.5,Completion Certificate,https://www.simplilearn.com/learn-python-libraries-free-course-skillup
Business Intelligence Fundamentals4.633K Learners10 hrsCompletion Certificate,10 hrs,4.6,Completion Certificate,https://www.simplilearn.com/free-business-intelligence-course-online-skillup
Introduction to Data Visualization4.626.5K Learners9 hrsCompletion Certificate,9 hrs,4.6,Completion Certificate,https://www.simplilearn.com/free-data-visualization-course-online-skillup
Excel Dashboard for Beginners4.764K Learners2 hrsCompletion CertificateEnroll and win rewards,2 hrs,4.7,Completion CertificateEnroll and win rewards,https://www.simplilearn.com/introduction-to-excel-dashboard-for-beginners-skillup
Power BI Data Modelling Basics Tutorial Course4.410K Learners3 hrsCompletion Certificate,3 hrs,4.4,Completion Certificate,https://www.simplilearn.com/free-power-bi-data-modelling-course-skillup
Excel Automation using ChatGPT: Become an Excel expert with ChatGPT4.39K Learners2 hrsCompletion Certificate,2 hrs,4.3,Completion Certificate,https://www.simplilearn.com/free-chatgpt-whatsapp-automate-course-skillup
CAPMÂ® Certification Training4.652.5K Learners0 hrsCompletion CertificateEarn up to $90K,0 hrs,4.6,Completion CertificateEarn up to $90K,https://www.simplilearn.com/capm-basics-skillup
PMP Basics4.663K Learners9 hrsCompletion Certificate,9 hrs,4.6,Completion Certificate,https://www.simplilearn.com/free-online-pmp-course-for-beginners-skillup
"Project Management 101: PMP certification training4.632.5K Learners2 hrsCompletion CertificateEarn up to $130,975",2 hrs,4.6,"Completion CertificateEarn up to $130,975",https://www.simplilearn.com/free-pmp-beginner-course-skillup
"Introduction to JIRA4.42K Learners1 hrsCompletion CertificateEarn up to $137,574",1 hrs,4.4,"Completion CertificateEarn up to $137,574",https://www.simplilearn.com/free-jira-course-skillup
"Introduction to PRINCE2Â®4.62 hrsCompletion CertificateEarn up to $137,574",2 hrs,4.6,"Completion CertificateEarn up to $137,574",https://www.simplilearn.com/free-prince2-course-skillup
"Introduction to PMI-RMPÂ®4.61 hrsCompletion CertificateEarn up to $137,574",1 hrs,4.6,"Completion CertificateEarn up to $137,574",https://www.simplilearn.com/free-risk-management-course-skillup
"Introduction to Kanban4.51 hrsCompletion CertificateEarn up to $138,546",1 hrs,4.5,"Completion CertificateEarn up to $138,546",https://www.simplilearn.com/free-kanban-certification-course-skillup
"Introduction to Scrumban4.31 hrsCompletion CertificateEarn up to $134,000",1 hrs,4.3,"Completion CertificateEarn up to $134,000",https://www.simplilearn.com/free-scrumban-certification-course-skillup
Introduction to Cyber Security4.6267.5K Learners2 hrsCompletion CertificateEarn up to $113KEnroll and win rewards,2 hrs,4.6,Completion CertificateEarn up to $113KEnroll and win rewards,https://www.simplilearn.com/learn-cyber-security-basics-skillup
Introduction to Cloud Security4.631K Learners7 hrsCompletion CertificateEarn up to $167K,7 hrs,4.6,Completion CertificateEarn up to $167K,https://www.simplilearn.com/learn-cloud-security-basics-skillup
Introduction to Cybercrime4.634K Learners2 hrsCompletion Certificate,2 hrs,4.6,Completion Certificate,https://www.simplilearn.com/free-cybercrime-course-for-beginners-skillup
Introduction to CISSP Security Assessment & Testing and Security Operations4.613.5K Learners4 hrsCompletion Certificate,4 hrs,4.6,Completion Certificate,https://www.simplilearn.com/learn-cissp-security-assessment-testing-operations-skillup
Introduction to Cryptography for Beginners4.511.5K Learners3 hrsCompletion Certificate,3 hrs,4.5,Completion Certificate,https://www.simplilearn.com/learn-cryptography-basics-free-skillup-course
Basics of Ethical Hacking4.521K Learners2 hrsCompletion Certificate,2 hrs,4.5,Completion Certificate,https://www.simplilearn.com/ethical-hacking-course-free-beginners-skillup
"Introduction to ChatGPT for Cybersecurity4.32K Learners1 hrsCompletion CertificateEarn up to $138,999",1 hrs,4.3,"Completion CertificateEarn up to $138,999",https://www.simplilearn.com/free-chatgpt-cybersecurity-course-skillup
"Introduction to Kali Linux Basics4.53.5K Learners2 hrsCompletion CertificateEarn up to $172,211",2 hrs,4.5,"Completion CertificateEarn up to $172,211",https://www.simplilearn.com/free-kali-linux-course-skillup
"Introduction to SAFeÂ®4.61 hrsCompletion CertificateEarn up to $182,900",1 hrs,4.6,"Completion CertificateEarn up to $182,900",https://www.simplilearn.com/free-safe-training-skillup
Agile Scrum Master Basics4.63K Learners5 hrsCompletion CertificateEarn up to $165K,5 hrs,4.6,Completion CertificateEarn up to $165K,https://www.simplilearn.com/free-scrum-master-training-skillup
Agile Scrum Foundation Basics4.61.5K Learners2 hrsCompletion Certificate,2 hrs,4.6,Completion Certificate,https://www.simplilearn.com/free-agile-scrum-foundations-course-skillup
"Introduction to Digital Transformation with Google Cloud4.57K Learners2 hrsCompletion CertificateEarn up to $187,506",2 hrs,4.5,"Completion CertificateEarn up to $187,506",https://www.simplilearn.com/digital-transformation-with-google-cloud-course-skillup
Azure 304 for Beginners Course4.75.5K Learners5 hrsCompletion Certificate,5 hrs,4.7,Completion Certificate,https://www.simplilearn.com/free-azure-304-course-skillup
Azure 303 for Beginners Course4.67 hrsCompletion CertificateEarn up to $210K,7 hrs,4.6,Completion CertificateEarn up to $210K,https://www.simplilearn.com/free-azure-303-course-skillup
Azure Fundamentals4.641.5K Learners6 hrsCompletion CertificateEarn up to $125KEnroll and win rewards,6 hrs,4.6,Completion CertificateEarn up to $125KEnroll and win rewards,https://www.simplilearn.com/learn-azure-basics-free-course-skillup
Introduction to Cloud Computing4.679K Learners2 hrsCompletion CertificateEnroll and win rewards,2 hrs,4.6,Completion CertificateEnroll and win rewards,https://www.simplilearn.com/introduction-to-cloud-computing-basics-skillup
Getting Started with AWS4.627.5K Learners8 hrsCompletion CertificateEarn up to $160K,8 hrs,4.6,Completion CertificateEarn up to $160K,https://www.simplilearn.com/learn-aws-basics-free-training-course-skillup
Introduction to Google Cloud Platform4.514K Learners4 hrsCompletion Certificate,4 hrs,4.5,Completion Certificate,https://www.simplilearn.com/learn-google-cloud-platform-fundamentals-free-course-skillup
Getting Started with AWS Services Fundamentals for Beginners4.612K Learners4 hrsCompletion Certificate,4 hrs,4.6,Completion Certificate,https://www.simplilearn.com/learn-aws-services-basics-free-course-skillup
AWS S3 Tutorial for Beginners4.62K Learners2 hrsCompletion Certificate,2 hrs,4.6,Completion Certificate,https://www.simplilearn.com/free-aws-s3-online-course-skillup
"AWS for Beginners: First step to start your Cloud Computing career4.54K Learners1 hrsCompletion CertificateEarn up to $182,954",1 hrs,4.5,"Completion CertificateEarn up to $182,954",https://www.simplilearn.com/free-aws-basics-beginners-course-skillup
"Getting Started with DevOps on AWS4.52K Learners1 hrsCompletion CertificateEarn up to $141,443",1 hrs,4.5,"Completion CertificateEarn up to $141,443",https://www.simplilearn.com/free-aws-devops-course-skillup
"Google Docs4.72K Learners1 hrsCompletion CertificateEarn up to $49,000",1 hrs,4.7,"Completion CertificateEarn up to $49,000",https://www.simplilearn.com/free-google-docs-course-skillup
"Google Sheets4.64K Learners1 hrsCompletion CertificateEarn up to $120,567",1 hrs,4.6,"Completion CertificateEarn up to $120,567",https://www.simplilearn.com/free-google-sheets-course-skillup
"Google Slides4.61.5K Learners1 hrsCompletion CertificateEarn up to $127,200",1 hrs,4.6,"Completion CertificateEarn up to $127,200",https://www.simplilearn.com/free-google-slides-course-skillup
"Google Meet4.71 hrsCompletion CertificateEarn up to $136,264",1 hrs,4.7,"Completion CertificateEarn up to $136,264",https://www.simplilearn.com/free-google-meet-course-skillup
"Google Chat4.51 hrsCompletion CertificateEarn up to $136,264",1 hrs,4.5,"Completion CertificateEarn up to $136,264",https://www.simplilearn.com/free-google-chat-course-skillup
"Google Sheets - Advanced Topics4.63K Learners1 hrsCompletion CertificateEarn up to $120,567",1 hrs,4.6,"Completion CertificateEarn up to $120,567",https://www.simplilearn.com/free-advanced-google-sheets-course-skillup
"Getting Started with Amazon Managed Service for Prometheus4.51 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.5,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-aws-managed-prometheus-course-skillup
"Getting Started with AWS IoT SiteWise4.41 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.4,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-aws-iot-sitewise-edge-course-skillup
"Getting Started with AWS Control Tower4.51 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.5,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-aws-control-tower-course-skillup
"Getting Started with AWS Security Hub4.51 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.5,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-aws-security-hub-course-skillup
"Getting Started with Amazon Detective4.61 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.6,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-amazon-detective-course-skillup
"AWS Networking Basics4.61.5K Learners1 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.6,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-aws-networking-course-skillup
"Amazon Simple Storage Service (Amazon S3) Storage Classes4.71 hrsCompletion CertificateEarn up to $165,000",1 hrs,4.7,"Completion CertificateEarn up to $165,000",https://www.simplilearn.com/free-aws-simple-storage-service-course-skillup
